dataset,dataset_type,name,eval_metric,metric_value
Boston,reg,Extra Trees,rmse,3.3946196300286524
Boston,reg,LightGBM,rmse,3.2092526596927597
Boston,reg,Neural Network,rmse,3.3358844461497412
Boston,reg,Random Forest,rmse,3.231544967402631
Boston,reg,Xgboost,rmse,2.931681000345707
Buzzinsocialmedia_twitter,reg,Baseline,rmse,612.3529763077349
Buzzinsocialmedia_twitter,reg,CatBoost,rmse,203.44832151371187
Buzzinsocialmedia_twitter,reg,Decision Tree,rmse,190.2906462319292
Buzzinsocialmedia_twitter,reg,Extra Trees,rmse,174.51564635978352
Buzzinsocialmedia_twitter,reg,LightGBM,rmse,183.63725929229943
Buzzinsocialmedia_twitter,reg,Neural Network,rmse,188.9536366002805
Buzzinsocialmedia_twitter,reg,Random Forest,rmse,176.57024111806683
Buzzinsocialmedia_twitter,reg,Xgboost,rmse,230.39882470337022
Car,multi,Baseline,accuracy,0.7002314814814815
Car,multi,CatBoost,accuracy,0.9872685185185185
Car,multi,Decision Tree,accuracy,0.8211805555555556
Car,multi,Extra Trees,accuracy,0.9369212962962963
Car,multi,LightGBM,accuracy,0.9988425925925926
Car,multi,Neural Network,accuracy,0.9890046296296297
Car,multi,Random Forest,accuracy,0.9386574074074074
Car,multi,Xgboost,accuracy,0.9959490740740741
Churn,binary,Baseline,accuracy,0.8586
Churn,binary,CatBoost,accuracy,0.9646
Churn,binary,Decision Tree,accuracy,0.9218
Churn,binary,Extra Trees,accuracy,0.9512
Churn,binary,LightGBM,accuracy,0.9618
Churn,binary,Neural Network,accuracy,0.9484
Churn,binary,Random Forest,accuracy,0.9556
Churn,binary,Xgboost,accuracy,0.9604
Click_prediction_small,binary,Baseline,accuracy,0.8315810553719836
Click_prediction_small,binary,CatBoost,accuracy,0.8361870431561029
Click_prediction_small,binary,Decision Tree,accuracy,0.8331080404525883
Click_prediction_small,binary,Extra Trees,accuracy,0.8327325523180135
Click_prediction_small,binary,LightGBM,accuracy,0.8365124662060679
Click_prediction_small,binary,Neural Network,accuracy,0.8333333333333334
Click_prediction_small,binary,Random Forest,accuracy,0.8351607089215981
Click_prediction_small,binary,Xgboost,accuracy,0.8366376289175929
