feature,mean_importance
YearsInCurrentRole,-0.000889351114707737
HourlyRate,-0.0008883457266499861
TotalWorkingYears,-0.0005080248367119178
MonthlyRate,-0.00026873836995745527
RelationshipSatisfaction,0.0
PerformanceRating,0.0
PercentSalaryHike,0.0
WorkLifeBalance,0.0
NumCompaniesWorked,0.0
JobInvolvement,0.0
MaritalStatus,0.0
EmployeeNumber,0.0
EducationField,0.0
Education,0.0
DistanceFromHome,0.0
BusinessTravel,0.0
Gender,0.0
TrainingTimesLastYear,0.00010901396340199377
DailyRate,0.00011110873357493834
Department,0.00046642045010013565
JobSatisfaction,0.0006870036478560992
YearsSinceLastPromotion,0.0010700771568692869
JobLevel,0.0017506883366867232
EnvironmentSatisfaction,0.001928781104279742
JobRole,0.0038046734080650958
Age,0.007197464060119618
YearsWithCurrManager,0.007593227492814614
YearsAtCompany,0.007749198009371616
MonthlyIncome,0.010225572342613388
StockOptionLevel,0.010998346527474334
OverTime,0.02876911269113185
