feature,mean_importance
YearsInCurrentRole,-0.000214716866724618
MonthlyRate,-0.0001615995869432729
MaritalStatus,0.0
PerformanceRating,0.0
PercentSalaryHike,0.0
TrainingTimesLastYear,0.0
WorkLifeBalance,0.0
RelationshipSatisfaction,0.0
Gender,0.0
JobInvolvement,0.0
Education,0.0
BusinessTravel,0.0
EducationField,2.74111593098203e-06
HourlyRate,3.098579993712214e-05
TotalWorkingYears,8.777362293294066e-05
DailyRate,0.0002796374925805534
Department,0.00028910900045431287
EmployeeNumber,0.0004296283524070743
NumCompaniesWorked,0.0008670744992669954
JobSatisfaction,0.0009033803397920925
JobLevel,0.0009856317586402264
YearsSinceLastPromotion,0.0012398021998666243
EnvironmentSatisfaction,0.0015470399788696022
DistanceFromHome,0.0034740916664956047
Age,0.004230604378341063
YearsAtCompany,0.005209292668019183
JobRole,0.005618839301273715
YearsWithCurrManager,0.007580803997611296
MonthlyIncome,0.00982482502730414
StockOptionLevel,0.011075271555821452
OverTime,0.03075674989913423
