feature,mean_importance
EmployeeNumber,-0.0013493337673118
HourlyRate,-0.0010627087903379406
TrainingTimesLastYear,-0.0008030537862335318
JobSatisfaction,-0.000474894126176395
PerformanceRating,0.0
Education,0.0
EducationField,2.5133069401217514e-07
WorkLifeBalance,1.8375866866582324e-05
MaritalStatus,2.146832869809323e-05
RelationshipSatisfaction,0.00020106870532651255
MonthlyRate,0.0003622776267462213
Gender,0.0005839835537587712
YearsSinceLastPromotion,0.0006151231283516356
YearsInCurrentRole,0.0006201081299169519
Department,0.0007323698379988475
BusinessTravel,0.0008429886346991821
JobInvolvement,0.0008923018100261193
JobRole,0.001160155364047588
PercentSalaryHike,0.00128988187505501
NumCompaniesWorked,0.0013634772447822963
DailyRate,0.001570789606413836
JobLevel,0.0023158016882714903
DistanceFromHome,0.0024180391664654468
TotalWorkingYears,0.0034362381035835665
StockOptionLevel,0.004148559752293635
EnvironmentSatisfaction,0.005596443658841333
YearsWithCurrManager,0.008731775104245443
Age,0.008797090559115983
YearsAtCompany,0.010073919567665979
MonthlyIncome,0.018074753234196595
OverTime,0.024745145307438588
