feature,mean_importance
HourlyRate,-0.0042611492618812915
BusinessTravel,-0.00303958534323423
DailyRate,-0.003027789146136728
YearsAtCompany,-0.002207606984873445
MonthlyRate,-0.0021501605811649837
EmployeeNumber,-0.001428663437482236
Education,-0.0010060254429353876
Gender,-0.0008359586777440975
RelationshipSatisfaction,-0.000365560156811473
EducationField,-0.0003020236775123419
PerformanceRating,0.0
PercentSalaryHike,0.00032080971076827727
JobSatisfaction,0.0004640037188595181
YearsWithCurrManager,0.0006183612779737113
MaritalStatus,0.0006616354531507329
JobInvolvement,0.0008547147442733883
TrainingTimesLastYear,0.0008616804115440635
Department,0.00200485773670126
WorkLifeBalance,0.00222846706123353
YearsSinceLastPromotion,0.002453483354321451
NumCompaniesWorked,0.0026728933316447546
DistanceFromHome,0.0026897658207039265
StockOptionLevel,0.0028505999418928286
JobLevel,0.0029557853903692476
TotalWorkingYears,0.0029932696368701996
YearsInCurrentRole,0.003393614912533871
JobRole,0.00403037262863708
EnvironmentSatisfaction,0.006559885569988644
Age,0.01061545736166516
MonthlyIncome,0.02409561500306734
OverTime,0.06369578680633817
