feature,mean_importance
DailyRate,-0.001692154186095074
JobSatisfaction,-0.001613486808116793
TotalWorkingYears,-0.0006835617066235144
HourlyRate,-0.0006043321286699043
EducationField,-0.0004897425289550617
EmployeeNumber,-0.0003445222561161976
Gender,-9.411542863024814e-06
RelationshipSatisfaction,0.0
PercentSalaryHike,0.0
YearsSinceLastPromotion,0.0
Education,0.0
PerformanceRating,0.0
YearsAtCompany,7.08155932777621e-05
JobInvolvement,0.0002354003623153078
Department,0.0002572573163462377
MonthlyRate,0.00026369721952157477
YearsInCurrentRole,0.0005502140582517523
TrainingTimesLastYear,0.0009054339623874363
BusinessTravel,0.0009282066413799806
NumCompaniesWorked,0.0010964552109735237
WorkLifeBalance,0.0011125125412761005
MaritalStatus,0.001454809655152034
DistanceFromHome,0.0016828873116588872
YearsWithCurrManager,0.0019075872825546792
JobRole,0.004936313302699846
JobLevel,0.004939823745905125
EnvironmentSatisfaction,0.006928465311072496
StockOptionLevel,0.007110618302135152
Age,0.008959505075822948
MonthlyIncome,0.016605280801495516
OverTime,0.0536929272329104
