feature,mean_importance
JobInvolvement,-0.0006625611176315438
YearsInCurrentRole,-0.0005832589516457931
HourlyRate,-0.00018487178906676505
MaritalStatus,0.0
RelationshipSatisfaction,0.0
PerformanceRating,0.0
PercentSalaryHike,0.0
Education,0.0
EducationField,0.0
EmployeeNumber,0.0
WorkLifeBalance,0.0
Gender,0.0
MonthlyRate,7.369363202536228e-06
TrainingTimesLastYear,0.00022773426426455634
DailyRate,0.0007847983294199335
TotalWorkingYears,0.0009846877277889688
BusinessTravel,0.0010373558426222563
NumCompaniesWorked,0.0011756981903224939
JobSatisfaction,0.0018469053568438642
Department,0.0019052118549135356
JobLevel,0.002196480480557894
YearsSinceLastPromotion,0.002420301681770909
EnvironmentSatisfaction,0.002680943563423621
JobRole,0.0032405649773724066
DistanceFromHome,0.004055070436244168
YearsWithCurrManager,0.004881396904602609
YearsAtCompany,0.005773594669378912
Age,0.00722714602905431
StockOptionLevel,0.008959702113417456
MonthlyIncome,0.01119248622143455
OverTime,0.035469616967666116
