feature,mean_importance
YearsSinceLastPromotion,-0.0016558176605523834
TrainingTimesLastYear,-0.0014139423438345622
Gender,-0.00026216649244890087
EmployeeNumber,-9.310079179934983e-05
PerformanceRating,0.0
TotalWorkingYears,0.0
Education,0.0
PercentSalaryHike,1.2324192975921021e-06
YearsInCurrentRole,4.4270486059261316e-05
HourlyRate,0.00039785454301402015
WorkLifeBalance,0.00040231888452318953
MonthlyRate,0.0005247020740503205
Department,0.0005979593355231793
EducationField,0.0006051360858553512
DailyRate,0.0010122279514015674
RelationshipSatisfaction,0.0011372253977898871
JobInvolvement,0.0019948976969464405
BusinessTravel,0.003019735064442508
YearsAtCompany,0.0034105399401046176
MaritalStatus,0.00420837483996771
MonthlyIncome,0.00530212049094847
NumCompaniesWorked,0.0056875551030398765
DistanceFromHome,0.006334548648407346
EnvironmentSatisfaction,0.0063637181875388915
JobLevel,0.006596097794685962
YearsWithCurrManager,0.006778721503904827
JobRole,0.010848168125849277
JobSatisfaction,0.01326385801645732
Age,0.016572033894051375
StockOptionLevel,0.01675071891577278
OverTime,0.045597580041820476
